




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of neutrophil apoptotic process (GO:0033031)	5	2	1.32	+	1.51	3.81E-01
regulation of mast cell apoptotic process (GO:0033025)	5	2	1.32	+	1.51	3.81E-01
regulation of protein exit from endoplasmic reticulum (GO:0070861)	25	10	6.61	+	1.51	1.32E-01
activation of meiosis (GO:0090427)	5	2	1.32	+	1.51	3.81E-01
modulation by symbiont of host apoptotic process (GO:0052150)	5	2	1.32	+	1.51	3.81E-01
dipeptide import across plasma membrane (GO:0140206)	5	2	1.32	+	1.51	3.81E-01
oligopeptide import across plasma membrane (GO:0140205)	5	2	1.32	+	1.51	3.81E-01
long-chain fatty acid import into cell (GO:0044539)	10	4	2.65	+	1.51	2.74E-01
positive regulation of rRNA processing (GO:2000234)	10	4	2.65	+	1.51	2.74E-01
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	5	2	1.32	+	1.51	3.81E-01
protein-DNA covalent cross-linking repair (GO:0106300)	5	2	1.32	+	1.51	3.81E-01
regulation of NADP metabolic process (GO:1902031)	5	2	1.32	+	1.51	3.81E-01
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	25	10	6.61	+	1.51	1.32E-01
peptidyl-threonine modification (GO:0018210)	85	34	22.48	+	1.51	1.38E-02
protein K69-linked ufmylation (GO:1990592)	5	2	1.32	+	1.51	3.81E-01
peptidyl-methionine modification (GO:0018206)	10	4	2.65	+	1.51	2.74E-01
protein polyufmylation (GO:1990564)	5	2	1.32	+	1.51	3.81E-01
establishment of mitochondrion localization (GO:0051654)	25	10	6.61	+	1.51	1.32E-01
cellular response to lipoteichoic acid (GO:0071223)	10	4	2.65	+	1.51	2.74E-01
response to camptothecin (GO:1901563)	5	2	1.32	+	1.51	3.81E-01
negative regulation of excitatory postsynaptic potential (GO:0090394)	10	4	2.65	+	1.51	2.74E-01
negative regulation of protein targeting to membrane (GO:0090315)	5	2	1.32	+	1.51	3.81E-01
positive regulation of fatty acid transport (GO:2000193)	25	10	6.61	+	1.51	1.32E-01
regulation of postsynaptic cytosolic calcium ion concentration (GO:0099566)	5	2	1.32	+	1.51	3.81E-01
Rap protein signal transduction (GO:0032486)	10	4	2.65	+	1.51	2.74E-01
regulation of removal of superoxide radicals (GO:2000121)	5	2	1.32	+	1.51	3.81E-01
regulation of phospholipase A2 activity (GO:0032429)	10	4	2.65	+	1.51	2.74E-01
GTP biosynthetic process (GO:0006183)	10	4	2.65	+	1.51	2.74E-01
regulation of sodium:proton antiporter activity (GO:0032415)	5	2	1.32	+	1.51	3.81E-01
methylglyoxal catabolic process (GO:0051596)	5	2	1.32	+	1.51	3.81E-01
viral translational termination-reinitiation (GO:0075525)	5	2	1.32	+	1.51	3.81E-01
positive regulation of 3'-UTR-mediated mRNA stabilization (GO:1905870)	5	2	1.32	+	1.51	3.81E-01
citrate metabolic process (GO:0006101)	5	2	1.32	+	1.51	3.81E-01
negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990441)	5	2	1.32	+	1.51	3.81E-01
corticosteroid receptor signaling pathway (GO:0031958)	5	2	1.32	+	1.51	3.81E-01
negative regulation of glucocorticoid biosynthetic process (GO:0031947)	5	2	1.32	+	1.51	3.81E-01
negative regulation of glucocorticoid metabolic process (GO:0031944)	5	2	1.32	+	1.51	3.81E-01
positive regulation of fibroblast growth factor production (GO:0090271)	5	2	1.32	+	1.51	3.81E-01
regulation of tetrapyrrole metabolic process (GO:1901401)	5	2	1.32	+	1.51	3.81E-01
dendrite arborization (GO:0140059)	10	4	2.65	+	1.51	2.74E-01
lipid droplet formation (GO:0140042)	10	4	2.65	+	1.51	2.74E-01
negative regulation of astrocyte differentiation (GO:0048712)	20	8	5.29	+	1.51	1.65E-01
regulation of non-canonical Wnt signaling pathway (GO:2000050)	25	10	6.61	+	1.51	1.32E-01
embryonic viscerocranium morphogenesis (GO:0048703)	10	4	2.65	+	1.51	2.74E-01
response to leptin (GO:0044321)	20	8	5.29	+	1.51	1.65E-01
glycerol metabolic process (GO:0006071)	20	8	5.29	+	1.51	1.65E-01
ethanol catabolic process (GO:0006068)	5	2	1.32	+	1.51	3.81E-01
DNA catabolic process, exonucleolytic (GO:0000738)	5	2	1.32	+	1.51	3.81E-01
regulation of DNA helicase activity (GO:1905774)	5	2	1.32	+	1.51	3.81E-01
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	5	2	1.32	+	1.51	3.81E-01
histone mRNA catabolic process (GO:0071044)	10	4	2.65	+	1.51	2.74E-01
meiotic mismatch repair (GO:0000710)	5	2	1.32	+	1.51	3.81E-01
nuclear retention of pre-mRNA at the site of transcription (GO:0071033)	5	2	1.32	+	1.51	3.81E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	5	2	1.32	+	1.51	3.81E-01
myoblast proliferation (GO:0051450)	5	2	1.32	+	1.51	3.81E-01
protein localization to microtubule end (GO:1905725)	5	2	1.32	+	1.51	3.81E-01
regulation of store-operated calcium channel activity (GO:1901339)	10	4	2.65	+	1.51	2.74E-01
regulation of sprouting of injured axon (GO:0048686)	5	2	1.32	+	1.51	3.81E-01
sensory perception of touch (GO:0050975)	5	2	1.32	+	1.51	3.81E-01
smooth muscle cell proliferation (GO:0048659)	5	2	1.32	+	1.51	3.81E-01
mitochondrial RNA modification (GO:1900864)	5	2	1.32	+	1.51	3.81E-01
central nervous system myelin formation (GO:0032289)	5	2	1.32	+	1.51	3.81E-01
positive chemotaxis (GO:0050918)	20	8	5.29	+	1.51	1.65E-01
positive regulation of nucleobase-containing compound transport (GO:0032241)	5	2	1.32	+	1.51	3.81E-01
activation of store-operated calcium channel activity (GO:0032237)	5	2	1.32	+	1.51	3.81E-01
regulation of lysosome organization (GO:1905671)	5	2	1.32	+	1.51	3.81E-01
neurotransmitter receptor transport to plasma membrane (GO:0098877)	20	8	5.29	+	1.51	1.65E-01
regulation of calcium ion import across plasma membrane (GO:1905664)	10	4	2.65	+	1.51	2.74E-01
regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)	5	2	1.32	+	1.51	3.81E-01
foam cell differentiation (GO:0090077)	5	2	1.32	+	1.51	3.81E-01
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	20	8	5.29	+	1.51	1.65E-01
coumarin metabolic process (GO:0009804)	5	2	1.32	+	1.51	3.81E-01
regulation of steroid hormone biosynthetic process (GO:0090030)	20	8	5.29	+	1.51	1.65E-01
negative regulation of monocyte chemotaxis (GO:0090027)	5	2	1.32	+	1.51	3.81E-01
regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070428)	5	2	1.32	+	1.51	3.81E-01
cellular response to cold (GO:0070417)	10	4	2.65	+	1.51	2.74E-01
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	5	2	1.32	+	1.51	3.81E-01
negative regulation of low-density lipoprotein receptor activity (GO:1905598)	5	2	1.32	+	1.51	3.81E-01
ncRNA transcription (GO:0098781)	25	10	6.61	+	1.51	1.32E-01
regulation of mitotic cell cycle, embryonic (GO:0009794)	5	2	1.32	+	1.51	3.81E-01
glucose import across plasma membrane (GO:0098708)	5	2	1.32	+	1.51	3.81E-01
response to lipoteichoic acid (GO:0070391)	10	4	2.65	+	1.51	2.74E-01
mucociliary clearance (GO:0120197)	5	2	1.32	+	1.51	3.81E-01
negative regulation of lipoprotein metabolic process (GO:0050748)	5	2	1.32	+	1.51	3.81E-01
positive regulation of lipoprotein metabolic process (GO:0050747)	5	2	1.32	+	1.51	3.81E-01
positive regulation of cold-induced thermogenesis (GO:0120162)	95	38	25.13	+	1.51	9.74E-03
ciliary basal body organization (GO:0032053)	5	2	1.32	+	1.51	3.81E-01
mitochondrial DNA metabolic process (GO:0032042)	10	4	2.65	+	1.51	2.74E-01
ISG15-protein conjugation (GO:0032020)	5	2	1.32	+	1.51	3.81E-01
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	5	2	1.32	+	1.51	3.81E-01
aggrephagy (GO:0035973)	5	2	1.32	+	1.51	3.81E-01
cellular response to nerve growth factor stimulus (GO:1990090)	35	14	9.26	+	1.51	8.74E-02
response to nerve growth factor (GO:1990089)	35	14	9.26	+	1.51	8.74E-02
hemidesmosome assembly (GO:0031581)	5	2	1.32	+	1.51	3.81E-01
phenylpropanoid metabolic process (GO:0009698)	5	2	1.32	+	1.51	3.81E-01
retrograde neuronal dense core vesicle transport (GO:1990049)	5	2	1.32	+	1.51	3.81E-01
glucosamine-containing compound catabolic process (GO:1901072)	10	4	2.65	+	1.51	2.74E-01
dorsal aorta development (GO:0035907)	10	4	2.65	+	1.51	2.74E-01
ascending aorta development (GO:0035905)	5	2	1.32	+	1.51	3.81E-01
mitochondrial DNA repair (GO:0043504)	5	2	1.32	+	1.51	3.81E-01
renal sodium ion absorption (GO:0070294)	5	2	1.32	+	1.51	3.81E-01
negative regulation of activation-induced cell death of T cells (GO:0070236)	5	2	1.32	+	1.51	3.81E-01
positive regulation of macrophage proliferation (GO:0120041)	5	2	1.32	+	1.51	3.81E-01
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	5	2	1.32	+	1.51	3.81E-01
regulation of snRNA transcription by RNA polymerase II (GO:1905380)	5	2	1.32	+	1.51	3.81E-01
nuclear membrane reassembly (GO:0031468)	10	4	2.65	+	1.51	2.74E-01
negative regulation of urine volume (GO:0035811)	10	4	2.65	+	1.51	2.74E-01
rRNA transport (GO:0051029)	5	2	1.32	+	1.51	3.81E-01
positive regulation of lipoprotein lipase activity (GO:0051006)	10	4	2.65	+	1.51	2.74E-01
dipeptide transport (GO:0042938)	5	2	1.32	+	1.51	3.81E-01
protein localization to microtubule plus-end (GO:1904825)	5	2	1.32	+	1.51	3.81E-01
negative regulation of chemokine-mediated signaling pathway (GO:0070100)	5	2	1.32	+	1.51	3.81E-01
T-helper 2 cell cytokine production (GO:0035745)	5	2	1.32	+	1.51	3.81E-01
natural killer cell degranulation (GO:0043320)	5	2	1.32	+	1.51	3.81E-01
negative regulation of vesicle fusion (GO:0031339)	5	2	1.32	+	1.51	3.81E-01
response to water deprivation (GO:0009414)	5	2	1.32	+	1.51	3.81E-01
nucleosome positioning (GO:0016584)	10	4	2.65	+	1.51	2.74E-01
positive regulation of viral transcription (GO:0050434)	5	2	1.32	+	1.51	3.81E-01
phosphatidylserine acyl-chain remodeling (GO:0036150)	5	2	1.32	+	1.51	3.81E-01
articular cartilage development (GO:0061975)	5	2	1.32	+	1.51	3.81E-01
mitochondrial protein catabolic process (GO:0035694)	5	2	1.32	+	1.51	3.81E-01
regulation of membrane invagination (GO:1905153)	20	8	5.29	+	1.51	1.65E-01
regulation of pseudopodium assembly (GO:0031272)	10	4	2.65	+	1.51	2.74E-01
amine catabolic process (GO:0009310)	20	8	5.29	+	1.51	1.65E-01
negative regulation of transcription by RNA polymerase I (GO:0016479)	5	2	1.32	+	1.51	3.81E-01
diadenosine polyphosphate catabolic process (GO:0015961)	5	2	1.32	+	1.51	3.81E-01
regulation of antifungal innate immune response (GO:1905034)	5	2	1.32	+	1.51	3.81E-01
coenzyme A biosynthetic process (GO:0015937)	10	4	2.65	+	1.51	2.74E-01
10-formyltetrahydrofolate metabolic process (GO:0009256)	5	2	1.32	+	1.51	3.81E-01
long-chain fatty acid import across plasma membrane (GO:0015911)	5	2	1.32	+	1.51	3.81E-01
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	2	1.32	+	1.51	3.81E-01
negative regulation of clathrin-dependent endocytosis (GO:1900186)	5	2	1.32	+	1.51	3.81E-01
regulation of microtubule binding (GO:1904526)	10	4	2.65	+	1.51	2.74E-01
methylglyoxal catabolic process to lactate (GO:0061727)	5	2	1.32	+	1.51	3.81E-01
regulation of cardiac muscle tissue development (GO:0055024)	5	2	1.32	+	1.51	3.81E-01
dipeptide transmembrane transport (GO:0035442)	5	2	1.32	+	1.51	3.81E-01
pyrimidine nucleoside transport (GO:0015864)	5	2	1.32	+	1.51	3.81E-01
uridine transport (GO:0015862)	5	2	1.32	+	1.51	3.81E-01
post-embryonic camera-type eye development (GO:0031077)	10	4	2.65	+	1.51	2.74E-01
amino acid activation (GO:0043038)	40	16	10.58	+	1.51	7.17E-02
L-serine transport (GO:0015825)	5	2	1.32	+	1.51	3.81E-01
deoxyribonucleoside metabolic process (GO:0009120)	10	4	2.65	+	1.51	2.74E-01
folate import across plasma membrane (GO:1904447)	5	2	1.32	+	1.51	3.81E-01
positive regulation of hemostasis (GO:1900048)	20	8	5.29	+	1.51	1.65E-01
negative regulation of macrophage cytokine production (GO:0010936)	5	2	1.32	+	1.51	3.81E-01
chemoattraction of axon (GO:0061642)	5	2	1.32	+	1.51	3.81E-01
negative regulation of protein dephosphorylation (GO:0035308)	35	14	9.26	+	1.51	8.74E-02
bundle of His cell action potential (GO:0086043)	5	2	1.32	+	1.51	3.81E-01
positive regulation of saliva secretion (GO:0046878)	5	2	1.32	+	1.51	3.81E-01
bundle of His cell to Purkinje myocyte signaling (GO:0086028)	5	2	1.32	+	1.51	3.81E-01
detection of bacterial lipoprotein (GO:0042494)	5	2	1.32	+	1.51	3.81E-01
regulation of stress granule assembly (GO:0062028)	5	2	1.32	+	1.51	3.81E-01
ethanolamine-containing compound metabolic process (GO:0042439)	10	4	2.65	+	1.51	2.74E-01
synaptic vesicle uncoating (GO:0016191)	5	2	1.32	+	1.51	3.81E-01
positive regulation of lipid storage (GO:0010884)	25	10	6.61	+	1.51	1.32E-01
cellular biogenic amine catabolic process (GO:0042402)	20	8	5.29	+	1.51	1.65E-01
positive regulation of centrosome duplication (GO:0010825)	5	2	1.32	+	1.51	3.81E-01
diterpenoid biosynthetic process (GO:0016102)	10	4	2.65	+	1.51	2.74E-01
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	10	4	2.65	+	1.51	2.74E-01
macrophage derived foam cell differentiation (GO:0010742)	5	2	1.32	+	1.51	3.81E-01
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	5	2	1.32	+	1.51	3.81E-01
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	5	2	1.32	+	1.51	3.81E-01
regulation of centriole elongation (GO:1903722)	5	2	1.32	+	1.51	3.81E-01
coronary artery morphogenesis (GO:0060982)	10	4	2.65	+	1.51	2.74E-01
endocardial cell differentiation (GO:0060956)	5	2	1.32	+	1.51	3.81E-01
regulation of retinal cell programmed cell death (GO:0046668)	5	2	1.32	+	1.51	3.81E-01
error-prone translesion synthesis (GO:0042276)	5	2	1.32	+	1.51	3.81E-01
positive regulation of centriole replication (GO:0046601)	5	2	1.32	+	1.51	3.81E-01
negative regulation of alkaline phosphatase activity (GO:0010693)	5	2	1.32	+	1.51	3.81E-01
cellular response to heat (GO:0034605)	45	18	11.90	+	1.51	5.91E-02
epithelial structure maintenance (GO:0010669)	20	8	5.29	+	1.51	1.65E-01
negative regulation of striated muscle cell apoptotic process (GO:0010664)	35	14	9.26	+	1.51	8.74E-02
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	5	2	1.32	+	1.51	3.81E-01
cell adhesion involved in heart morphogenesis (GO:0061343)	5	2	1.32	+	1.51	3.81E-01
regulation of chaperone-mediated protein folding (GO:1903644)	5	2	1.32	+	1.51	3.81E-01
retinal blood vessel morphogenesis (GO:0061304)	5	2	1.32	+	1.51	3.81E-01
growth plate cartilage chondrocyte development (GO:0003431)	5	2	1.32	+	1.51	3.81E-01
saliva secretion (GO:0046541)	5	2	1.32	+	1.51	3.81E-01
positive regulation of blood coagulation (GO:0030194)	20	8	5.29	+	1.51	1.65E-01
regulation of cholangiocyte proliferation (GO:1904054)	5	2	1.32	+	1.51	3.81E-01
intracellular mRNA localization (GO:0008298)	10	4	2.65	+	1.51	2.74E-01
pancreatic juice secretion (GO:0030157)	5	2	1.32	+	1.51	3.81E-01
positive regulation of B cell apoptotic process (GO:0002904)	5	2	1.32	+	1.51	3.81E-01
positive regulation of histamine secretion by mast cell (GO:1903595)	5	2	1.32	+	1.51	3.81E-01
regulation of histamine secretion by mast cell (GO:1903593)	5	2	1.32	+	1.51	3.81E-01
regulation of protein targeting (GO:1903533)	50	20	13.23	+	1.51	4.89E-02
positive regulation of membrane tubulation (GO:1903527)	5	2	1.32	+	1.51	3.81E-01
isopentenyl diphosphate metabolic process (GO:0046490)	5	2	1.32	+	1.51	3.81E-01
regulation of androgen receptor signaling pathway (GO:0060765)	25	10	6.61	+	1.51	1.32E-01
prostanoid biosynthetic process (GO:0046457)	20	8	5.29	+	1.51	1.65E-01
dentinogenesis (GO:0097187)	5	2	1.32	+	1.51	3.81E-01
protein repair (GO:0030091)	5	2	1.32	+	1.51	3.81E-01
regulation of dopamine metabolic process (GO:0042053)	20	8	5.29	+	1.51	1.65E-01
cholesterol esterification (GO:0034435)	5	2	1.32	+	1.51	3.81E-01
sterol esterification (GO:0034434)	5	2	1.32	+	1.51	3.81E-01
steroid esterification (GO:0034433)	5	2	1.32	+	1.51	3.81E-01
negative regulation of acute inflammatory response to antigenic stimulus (GO:0002865)	5	2	1.32	+	1.51	3.81E-01
microvillus assembly (GO:0030033)	10	4	2.65	+	1.51	2.74E-01
fatty acid omega-oxidation (GO:0010430)	5	2	1.32	+	1.51	3.81E-01
negative regulation of mitotic recombination (GO:0045950)	5	2	1.32	+	1.51	3.81E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	10	4	2.65	+	1.51	2.74E-01
dichotomous subdivision of terminal units involved in salivary gland branching (GO:0060666)	5	2	1.32	+	1.51	3.81E-01
regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling (GO:0060665)	5	2	1.32	+	1.51	3.81E-01
negative regulation of dendritic spine maintenance (GO:1902951)	5	2	1.32	+	1.51	3.81E-01
positive regulation of fatty acid oxidation (GO:0046321)	20	8	5.29	+	1.51	1.65E-01
COP9 signalosome assembly (GO:0010387)	5	2	1.32	+	1.51	3.81E-01
mesodermal cell migration (GO:0008078)	5	2	1.32	+	1.51	3.81E-01
skeletal muscle satellite cell activation (GO:0014719)	5	2	1.32	+	1.51	3.81E-01
positive regulation of NAD(P)H oxidase activity (GO:0033864)	5	2	1.32	+	1.51	3.81E-01
membrane fusion (GO:0061025)	115	46	30.42	+	1.51	4.90E-03
oxalate transport (GO:0019532)	5	2	1.32	+	1.51	3.81E-01
caveolin-mediated endocytosis (GO:0072584)	5	2	1.32	+	1.51	3.81E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	5	2	1.32	+	1.51	3.81E-01
muscular septum morphogenesis (GO:0003150)	5	2	1.32	+	1.51	3.81E-01
formaldehyde metabolic process (GO:0046292)	5	2	1.32	+	1.51	3.81E-01
positive regulation of cellular extravasation (GO:0002693)	20	8	5.29	+	1.51	1.65E-01
somatic recombination of T cell receptor gene segments (GO:0002681)	5	2	1.32	+	1.51	3.81E-01
tripartite regional subdivision (GO:0007351)	15	6	3.97	+	1.51	2.10E-01
metanephric nephron epithelium development (GO:0072243)	15	6	3.97	+	1.51	2.10E-01
glycosylceramide metabolic process (GO:0006677)	15	6	3.97	+	1.51	2.10E-01
negative regulation of viral transcription (GO:0032897)	15	6	3.97	+	1.51	2.10E-01
arginine metabolic process (GO:0006525)	15	6	3.97	+	1.51	2.10E-01
positive regulation of calcium ion transport (GO:0051928)	135	54	35.71	+	1.51	2.49E-03
negative regulation of receptor internalization (GO:0002091)	15	6	3.97	+	1.51	2.10E-01
DNA-templated transcription, initiation (GO:0006352)	55	22	14.55	+	1.51	4.06E-02
organic hydroxy compound catabolic process (GO:1901616)	60	24	15.87	+	1.51	3.37E-02
regulation of microvillus organization (GO:0032530)	15	6	3.97	+	1.51	2.10E-01
cellular response to acid chemical (GO:0071229)	75	30	19.84	+	1.51	1.96E-02
Golgi localization (GO:0051645)	15	6	3.97	+	1.51	2.10E-01
regulation of amyloid fibril formation (GO:1905906)	15	6	3.97	+	1.51	2.10E-01
histone H4-K8 acetylation (GO:0043982)	15	6	3.97	+	1.51	2.10E-01
histone H4-K5 acetylation (GO:0043981)	15	6	3.97	+	1.51	2.10E-01
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	15	6	3.97	+	1.51	2.10E-01
positive regulation of prostaglandin secretion (GO:0032308)	15	6	3.97	+	1.51	2.10E-01
positive regulation of voltage-gated calcium channel activity (GO:1901387)	15	6	3.97	+	1.51	2.10E-01
secretory granule localization (GO:0032252)	15	6	3.97	+	1.51	2.10E-01
carbohydrate derivative transport (GO:1901264)	60	24	15.87	+	1.51	3.37E-02
multicellular organismal water homeostasis (GO:0050891)	55	22	14.55	+	1.51	4.06E-02
positive regulation of macrophage migration (GO:1905523)	30	12	7.94	+	1.51	1.07E-01
positive regulation of mitochondrial translation (GO:0070131)	15	6	3.97	+	1.51	2.10E-01
intraciliary retrograde transport (GO:0035721)	15	6	3.97	+	1.51	2.10E-01
inactivation of MAPK activity (GO:0000188)	15	6	3.97	+	1.51	2.10E-01
response to amino acid (GO:0043200)	75	30	19.84	+	1.51	1.96E-02
regulation of vascular associated smooth muscle cell differentiation (GO:1905063)	15	6	3.97	+	1.51	2.10E-01
positive regulation of microtubule polymerization (GO:0031116)	30	12	7.94	+	1.51	1.07E-01
