




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of actin nucleation (GO:0051125)	3	1	.99	+	1.01	6.29E-01
monosaccharide metabolic process (GO:0005996)	42	14	13.90	+	1.01	5.25E-01
malate transport (GO:0015743)	6	2	1.99	+	1.01	5.90E-01
cardiolipin acyl-chain remodeling (GO:0035965)	3	1	.99	+	1.01	6.29E-01
glycogen biosynthetic process (GO:0005978)	3	1	.99	+	1.01	6.29E-01
regulation of DNA binding (GO:0051101)	3	1	.99	+	1.01	6.29E-01
heat acclimation (GO:0010286)	3	1	.99	+	1.01	6.29E-01
potassium ion import across plasma membrane (GO:1990573)	3	1	.99	+	1.01	6.29E-01
filamentous growth (GO:0030447)	3	1	.99	+	1.01	6.29E-01
fungal-type cell wall beta-glucan biosynthetic process (GO:0070880)	6	2	1.99	+	1.01	5.90E-01
fungal-type cell wall beta-glucan metabolic process (GO:0070879)	6	2	1.99	+	1.01	5.90E-01
positive regulation of establishment of protein localization (GO:1904951)	6	2	1.99	+	1.01	5.90E-01
aldehyde biosynthetic process (GO:0046184)	6	2	1.99	+	1.01	5.90E-01
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	3	1	.99	+	1.01	6.29E-01
iron coordination entity transport (GO:1901678)	3	1	.99	+	1.01	6.29E-01
peptidyl-glutamine methylation (GO:0018364)	3	1	.99	+	1.01	6.29E-01
snRNA processing (GO:0016180)	9	3	2.98	+	1.01	5.72E-01
metal ion export (GO:0070839)	3	1	.99	+	1.01	6.29E-01
adenosine to inosine editing (GO:0006382)	3	1	.99	+	1.01	6.29E-01
carbon catabolite repression of transcription (GO:0045013)	3	1	.99	+	1.01	6.29E-01
carotene metabolic process (GO:0016119)	3	1	.99	+	1.01	6.29E-01
transcription by RNA polymerase I (GO:0006360)	15	5	4.96	+	1.01	5.53E-01
DNA dealkylation involved in DNA repair (GO:0006307)	3	1	.99	+	1.01	6.29E-01
DNA modification (GO:0006304)	3	1	.99	+	1.01	6.29E-01
positive regulation of TORC1 signaling (GO:1904263)	3	1	.99	+	1.01	6.29E-01
tricarboxylic acid metabolic process (GO:0072350)	6	2	1.99	+	1.01	5.90E-01
cellular response to nitrogen starvation (GO:0006995)	6	2	1.99	+	1.01	5.90E-01
tRNA transport (GO:0051031)	6	2	1.99	+	1.01	5.90E-01
positive regulation of ion transmembrane transport (GO:0034767)	3	1	.99	+	1.01	6.29E-01
positive regulation of transmembrane transport (GO:0034764)	3	1	.99	+	1.01	6.29E-01
positive regulation of MAP kinase activity (GO:0043406)	3	1	.99	+	1.01	6.29E-01
DNA replication-independent nucleosome organization (GO:0034724)	6	2	1.99	+	1.01	5.90E-01
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	6	2	1.99	+	1.01	5.90E-01
histone H3-K4 demethylation (GO:0034720)	3	1	.99	+	1.01	6.29E-01
spliceosomal complex disassembly (GO:0000390)	3	1	.99	+	1.01	6.29E-01
mRNA pseudouridine synthesis (GO:1990481)	3	1	.99	+	1.01	6.29E-01
organelle localization (GO:0051640)	78	26	25.81	+	1.01	5.11E-01
cytidine metabolic process (GO:0046087)	3	1	.99	+	1.01	6.29E-01
N-terminal peptidyl-methionine acetylation (GO:0017196)	6	2	1.99	+	1.01	5.90E-01
protein N-linked glycosylation via asparagine (GO:0018279)	6	2	1.99	+	1.01	5.90E-01
positive regulation of cell growth (GO:0030307)	3	1	.99	+	1.01	6.29E-01
UTP metabolic process (GO:0046051)	3	1	.99	+	1.01	6.29E-01
hydrocarbon metabolic process (GO:0120252)	3	1	.99	+	1.01	6.29E-01
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	6	2	1.99	+	1.01	5.90E-01
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	6	2	1.99	+	1.01	5.90E-01
potassium ion transmembrane transport (GO:0071805)	12	4	3.97	+	1.01	5.61E-01
plasma membrane tubulation (GO:0097320)	3	1	.99	+	1.01	6.29E-01
negative regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046020)	3	1	.99	+	1.01	6.29E-01
protein phosphopantetheinylation (GO:0018215)	3	1	.99	+	1.01	6.29E-01
regulation of transcription by glucose (GO:0046015)	3	1	.99	+	1.01	6.29E-01
peptidyl-methionine modification (GO:0018206)	6	2	1.99	+	1.01	5.90E-01
mitochondrial RNA processing (GO:0000963)	9	3	2.98	+	1.01	5.72E-01
regulation of cell differentiation (GO:0045595)	3	1	.99	+	1.01	6.29E-01
UTP biosynthetic process (GO:0006228)	3	1	.99	+	1.01	6.29E-01
cellular zinc ion homeostasis (GO:0006882)	6	2	1.99	+	1.01	5.90E-01
mature ribosome assembly (GO:0042256)	3	1	.99	+	1.01	6.29E-01
regulation of direction of cell growth (GO:0061389)	3	1	.99	+	1.01	6.29E-01
protein unfolding (GO:0043335)	3	1	.99	+	1.01	6.29E-01
purine nucleobase transport (GO:0006863)	3	1	.99	+	1.01	6.29E-01
regulation of protein ubiquitination (GO:0031396)	6	2	1.99	+	1.01	5.90E-01
regulation of cell development (GO:0060284)	3	1	.99	+	1.01	6.29E-01
terpene metabolic process (GO:0042214)	3	1	.99	+	1.01	6.29E-01
potassium ion transport (GO:0006813)	15	5	4.96	+	1.01	5.53E-01
lipid glycosylation (GO:0030259)	3	1	.99	+	1.01	6.29E-01
siderophore biosynthetic process (GO:0019290)	3	1	.99	+	1.01	6.29E-01
allantoin catabolic process (GO:0000256)	3	1	.99	+	1.01	6.29E-01
allantoin metabolic process (GO:0000255)	3	1	.99	+	1.01	6.29E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	3	1	.99	+	1.01	6.29E-01
L-methionine salvage from S-adenosylmethionine (GO:0019284)	3	1	.99	+	1.01	6.29E-01
peptidyl-asparagine modification (GO:0018196)	6	2	1.99	+	1.01	5.90E-01
cell growth mode switching, monopolar to bipolar (GO:0051523)	3	1	.99	+	1.01	6.29E-01
carbon catabolite repression (GO:0061985)	3	1	.99	+	1.01	6.29E-01
regulation of sporulation (GO:0043937)	3	1	.99	+	1.01	6.29E-01
catabolite repression (GO:0061984)	3	1	.99	+	1.01	6.29E-01
adenine nucleotide transport (GO:0051503)	6	2	1.99	+	1.01	5.90E-01
tRNA-guanine transglycosylation (GO:0101030)	3	1	.99	+	1.01	6.29E-01
respiratory chain complex III assembly (GO:0017062)	9	3	2.98	+	1.01	5.72E-01
RNA modification (GO:0009451)	87	29	28.79	+	1.01	5.09E-01
positive regulation of organelle organization (GO:0010638)	33	11	10.92	+	1.01	5.31E-01
Ras protein signal transduction (GO:0007265)	6	2	1.99	+	1.01	5.90E-01
NAD biosynthetic process (GO:0009435)	15	5	4.96	+	1.01	5.53E-01
xylan catabolic process (GO:0045493)	15	5	4.96	+	1.01	5.53E-01
xylan metabolic process (GO:0045491)	15	5	4.96	+	1.01	5.53E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	6	2	1.99	+	1.01	5.90E-01
isocitrate metabolic process (GO:0006102)	3	1	.99	+	1.01	6.29E-01
positive regulation of ion transport (GO:0043270)	3	1	.99	+	1.01	6.29E-01
base conversion or substitution editing (GO:0016553)	3	1	.99	+	1.01	6.29E-01
positive regulation of cation transmembrane transport (GO:1904064)	3	1	.99	+	1.01	6.29E-01
regulation of cation transmembrane transport (GO:1904062)	3	1	.99	+	1.01	6.29E-01
cell wall polysaccharide catabolic process (GO:0044347)	15	5	4.96	+	1.01	5.53E-01
protein autoprocessing (GO:0016540)	3	1	.99	+	1.01	6.29E-01
polyadenylation-dependent mRNA catabolic process (GO:0071047)	3	1	.99	+	1.01	6.29E-01
positive regulation of protein-containing complex disassembly (GO:0043243)	3	1	.99	+	1.01	6.29E-01
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	3	1	.99	+	1.01	6.29E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	3	1	.99	+	1.01	6.29E-01
respiratory chain complex II assembly (GO:0034552)	3	1	.99	+	1.01	6.29E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	9	3	2.98	+	1.01	5.72E-01
one-carbon metabolic process (GO:0006730)	15	5	4.96	+	1.01	5.53E-01
activation of MAPK activity (GO:0000187)	3	1	.99	+	1.01	6.29E-01
rDNA heterochromatin assembly (GO:0000183)	3	1	.99	+	1.01	6.29E-01
COPII-coated vesicle budding (GO:0090114)	6	2	1.99	+	1.01	5.90E-01
regulation of endopeptidase activity (GO:0052548)	6	2	1.99	+	1.01	5.90E-01
regulation of peptidase activity (GO:0052547)	9	3	2.98	+	1.01	5.72E-01
MAPK cascade (GO:0000165)	9	3	2.98	+	1.01	5.72E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	30	10	9.93	+	1.01	5.33E-01
2'-deoxyribonucleotide metabolic process (GO:0009394)	6	2	1.99	+	1.01	5.90E-01
stress-activated MAPK cascade (GO:0051403)	3	1	.99	+	1.01	6.29E-01
ribonucleoprotein complex disassembly (GO:0032988)	3	1	.99	+	1.01	6.29E-01
D-xylose metabolic process (GO:0042732)	3	1	.99	+	1.01	6.29E-01
flavin-containing compound biosynthetic process (GO:0042727)	9	3	2.98	+	1.01	5.72E-01
flavin-containing compound metabolic process (GO:0042726)	9	3	2.98	+	1.01	5.72E-01
tRNA threonylcarbamoyladenosine modification (GO:0002949)	3	1	.99	+	1.01	6.29E-01
TORC1 signaling (GO:0038202)	3	1	.99	+	1.01	6.29E-01
protein alkylation (GO:0008213)	45	15	14.89	+	1.01	5.23E-01
glyoxylate metabolic process (GO:0046487)	3	1	.99	+	1.01	6.29E-01
chitin catabolic process (GO:0006032)	12	4	3.97	+	1.01	5.61E-01
regulation of protein acetylation (GO:1901983)	6	2	1.99	+	1.01	5.90E-01
meiotic mismatch repair (GO:0000710)	6	2	1.99	+	1.01	5.90E-01
short-chain fatty acid metabolic process (GO:0046459)	3	1	.99	+	1.01	6.29E-01
fructose metabolic process (GO:0006000)	6	2	1.99	+	1.01	5.90E-01
cellular homeostasis (GO:0019725)	102	34	33.75	+	1.01	5.06E-01
U5 snRNA 3'-end processing (GO:0034476)	3	1	.99	+	1.01	6.29E-01
U1 snRNA 3'-end processing (GO:0034473)	3	1	.99	+	1.01	6.29E-01
snRNA 3'-end processing (GO:0034472)	9	3	2.98	+	1.01	5.72E-01
regulation of reproductive process (GO:2000241)	15	5	4.96	+	1.01	5.53E-01
establishment of bipolar cell polarity (GO:0061171)	3	1	.99	+	1.01	6.29E-01
triglyceride metabolic process (GO:0006641)	9	3	2.98	+	1.01	5.72E-01
purine-containing compound salvage (GO:0043101)	6	2	1.99	+	1.01	5.90E-01
negative regulation of transcription by pheromones (GO:0045996)	3	1	.99	+	1.01	6.29E-01
DNA dealkylation (GO:0035510)	3	1	.99	+	1.01	6.29E-01
G2/M transition of mitotic cell cycle (GO:0000086)	3	1	.99	+	1.01	6.29E-01
cell wall beta-glucan biosynthetic process (GO:0034410)	6	2	1.99	+	1.01	5.90E-01
cell wall beta-glucan metabolic process (GO:0034406)	6	2	1.99	+	1.01	5.90E-01
regulation of oxidoreductase activity (GO:0051341)	3	1	.99	+	1.01	6.29E-01
maintenance of cell polarity (GO:0030011)	3	1	.99	+	1.01	6.29E-01
negative regulation of mRNA catabolic process (GO:1902373)	3	1	.99	+	1.01	6.29E-01
positive regulation of growth (GO:0045927)	3	1	.99	+	1.01	6.29E-01
cell cycle G2/M phase transition (GO:0044839)	3	1	.99	+	1.01	6.29E-01
pantothenate biosynthetic process (GO:0015940)	3	1	.99	+	1.01	6.29E-01
negative regulation of RNA catabolic process (GO:1902369)	3	1	.99	+	1.01	6.29E-01
pantothenate metabolic process (GO:0015939)	3	1	.99	+	1.01	6.29E-01
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	3	1	.99	+	1.01	6.29E-01
response to pH (GO:0009268)	3	1	.99	+	1.01	6.29E-01
histone H3-K36 methylation (GO:0010452)	3	1	.99	+	1.01	6.29E-01
siderophore metabolic process (GO:0009237)	3	1	.99	+	1.01	6.29E-01
copper ion homeostasis (GO:0055070)	9	3	2.98	+	1.01	5.72E-01
deoxyribose phosphate metabolic process (GO:0019692)	6	2	1.99	+	1.01	5.90E-01
zinc ion homeostasis (GO:0055069)	6	2	1.99	+	1.01	5.90E-01
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	3	1	.99	+	1.01	6.29E-01
endosome organization (GO:0007032)	6	2	1.99	+	1.01	5.90E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	18	6	5.96	+	1.01	5.47E-01
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	3	1	.99	+	1.01	6.29E-01
melanin metabolic process (GO:0006582)	3	1	.99	+	1.01	6.29E-01
valine metabolic process (GO:0006573)	12	4	3.97	+	1.01	5.61E-01
tyrosine biosynthetic process (GO:0006571)	3	1	.99	+	1.01	6.29E-01
tyrosine metabolic process (GO:0006570)	6	2	1.99	+	1.01	5.90E-01
L-serine biosynthetic process (GO:0006564)	3	1	.99	+	1.01	6.29E-01
proline metabolic process (GO:0006560)	6	2	1.99	+	1.01	5.90E-01
stress-activated protein kinase signaling cascade (GO:0031098)	3	1	.99	+	1.01	6.29E-01
NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)	3	1	.99	+	1.01	6.29E-01
organic substance metabolic process (GO:0071704)	2944	980	974.15	+	1.01	4.16E-01
Unclassified (UNCLASSIFIED)	4132	1370	1367.25	+	1.00	4.67E-01
biological_process (GO:0008150)	4880	1612	1614.75	-	1.00	4.67E-01
dephosphorylation (GO:0016311)	100	33	33.09	-	1.00	5.40E-01
cation transmembrane transport (GO:0098655)	179	59	59.23	-	1.00	5.23E-01
cellular component biogenesis (GO:0044085)	595	196	196.88	-	1.00	4.93E-01
cellular ion homeostasis (GO:0006873)	85	28	28.13	-	1.00	5.41E-01
cellular cation homeostasis (GO:0030003)	85	28	28.13	-	1.00	5.41E-01
primary metabolic process (GO:0044238)	2721	896	900.36	-	1.00	4.40E-01
nuclear export (GO:0051168)	58	19	19.19	-	.99	5.43E-01
transport (GO:0006810)	1033	338	341.81	-	.99	4.27E-01
cytoplasmic translation (GO:0002181)	49	16	16.21	-	.99	5.45E-01
cellular chemical homeostasis (GO:0055082)	92	30	30.44	-	.99	5.16E-01
ion homeostasis (GO:0050801)	89	29	29.45	-	.98	5.16E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	43	14	14.23	-	.98	5.46E-01
inorganic ion homeostasis (GO:0098771)	86	28	28.46	-	.98	5.16E-01
localization (GO:0051179)	1104	359	365.30	-	.98	3.75E-01
monocarboxylic acid biosynthetic process (GO:0072330)	40	13	13.24	-	.98	5.47E-01
establishment of localization (GO:0051234)	1047	340	346.44	-	.98	3.69E-01
glucan metabolic process (GO:0044042)	34	11	11.25	-	.98	5.49E-01
protein localization to endoplasmic reticulum (GO:0070972)	31	10	10.26	-	.97	5.51E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	31	10	10.26	-	.97	5.51E-01
protein targeting to membrane (GO:0006612)	31	10	10.26	-	.97	5.51E-01
catabolic process (GO:0009056)	648	209	214.42	-	.97	3.67E-01
cation homeostasis (GO:0055080)	87	28	28.79	-	.97	4.91E-01
proteolysis (GO:0006508)	345	111	114.16	-	.97	4.05E-01
nitrogen compound metabolic process (GO:0006807)	2404	773	795.46	-	.97	1.82E-01
meiosis I (GO:0007127)	28	9	9.26	-	.97	5.52E-01
inorganic ion transmembrane transport (GO:0098660)	162	52	53.60	-	.97	4.48E-01
monocarboxylic acid metabolic process (GO:0032787)	134	43	44.34	-	.97	4.59E-01
cellular protein metabolic process (GO:0044267)	1006	322	332.88	-	.97	2.75E-01
vitamin biosynthetic process (GO:0009110)	25	8	8.27	-	.97	5.55E-01
water-soluble vitamin biosynthetic process (GO:0042364)	25	8	8.27	-	.97	5.55E-01
nucleotide-sugar metabolic process (GO:0009225)	25	8	8.27	-	.97	5.55E-01
glycerolipid metabolic process (GO:0046486)	97	31	32.10	-	.97	4.69E-01
cellular metabolic process (GO:0044237)	2849	910	942.71	-	.97	1.02E-01
cellular process (GO:0009987)	4245	1355	1404.64	-	.96	3.56E-02
cellular amino acid catabolic process (GO:0009063)	47	15	15.55	-	.96	5.12E-01
beta-glucan metabolic process (GO:0051273)	22	7	7.28	-	.96	5.57E-01
purine-containing compound metabolic process (GO:0072521)	110	35	36.40	-	.96	4.51E-01
cell wall biogenesis (GO:0042546)	44	14	14.56	-	.96	5.11E-01
tRNA methylation (GO:0030488)	22	7	7.28	-	.96	5.57E-01
export from cell (GO:0140352)	63	20	20.85	-	.96	4.84E-01
organic acid catabolic process (GO:0016054)	82	26	27.13	-	.96	4.64E-01
cellular lipid catabolic process (GO:0044242)	41	13	13.57	-	.96	5.11E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	19	6	6.29	-	.95	5.60E-01
regulation of cellular amide metabolic process (GO:0034248)	76	24	25.15	-	.95	4.61E-01
methionine biosynthetic process (GO:0009086)	19	6	6.29	-	.95	5.60E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	6	6.29	-	.95	5.60E-01
fungal-type cell wall organization or biogenesis (GO:0071852)	76	24	25.15	-	.95	4.61E-01
protein import (GO:0017038)	76	24	25.15	-	.95	4.61E-01
protein targeting to vacuole (GO:0006623)	19	6	6.29	-	.95	5.60E-01
mitotic spindle organization (GO:0007052)	19	6	6.29	-	.95	5.60E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	19	6	6.29	-	.95	5.60E-01
regulation of translation (GO:0006417)	73	23	24.16	-	.95	4.60E-01
phospholipid biosynthetic process (GO:0008654)	89	28	29.45	-	.95	4.42E-01
carbohydrate biosynthetic process (GO:0016051)	35	11	11.58	-	.95	5.10E-01
amino sugar metabolic process (GO:0006040)	35	11	11.58	-	.95	5.10E-01
organic acid metabolic process (GO:0006082)	379	119	125.41	-	.95	2.98E-01
macromolecule metabolic process (GO:0043170)	2025	634	670.06	-	.95	5.87E-02
establishment of protein localization to organelle (GO:0072594)	147	46	48.64	-	.95	3.87E-01
regulation of catalytic activity (GO:0050790)	195	61	64.52	-	.95	3.58E-01
ERAD pathway (GO:0036503)	32	10	10.59	-	.94	5.10E-01
histone lysine methylation (GO:0034968)	16	5	5.29	-	.94	5.64E-01
mitochondrial RNA metabolic process (GO:0000959)	16	5	5.29	-	.94	5.64E-01
cellular polysaccharide catabolic process (GO:0044247)	16	5	5.29	-	.94	5.64E-01
glycerophospholipid metabolic process (GO:0006650)	90	28	29.78	-	.94	4.18E-01
organic substance transport (GO:0071702)	534	166	176.70	-	.94	2.16E-01
pyrimidine-containing compound metabolic process (GO:0072527)	29	9	9.60	-	.94	5.09E-01
glucosamine-containing compound metabolic process (GO:1901071)	29	9	9.60	-	.94	5.09E-01
cellular component disassembly (GO:0022411)	58	18	19.19	-	.94	4.52E-01
dicarboxylic acid metabolic process (GO:0043648)	42	13	13.90	-	.94	4.75E-01
endomembrane system organization (GO:0010256)	55	17	18.20	-	.93	4.50E-01
vacuolar transport (GO:0007034)	55	17	18.20	-	.93	4.50E-01
protein localization to membrane (GO:0072657)	68	21	22.50	-	.93	4.29E-01
regulation of molecular function (GO:0065009)	201	62	66.51	-	.93	3.15E-01
small molecule biosynthetic process (GO:0044283)	289	89	95.63	-	.93	2.65E-01
nitrogen compound transport (GO:0071705)	458	141	151.55	-	.93	2.02E-01
homoserine metabolic process (GO:0009092)	13	4	4.30	-	.93	5.70E-01
chromatin silencing at telomere (GO:0006348)	13	4	4.30	-	.93	5.70E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	13	4	4.30	-	.93	5.70E-01
response to light stimulus (GO:0009416)	13	4	4.30	-	.93	5.70E-01
posttranscriptional regulation of gene expression (GO:0010608)	91	28	30.11	-	.93	3.95E-01
protein-containing complex disassembly (GO:0032984)	26	8	8.60	-	.93	5.09E-01
ncRNA 5'-end processing (GO:0034471)	13	4	4.30	-	.93	5.70E-01
positive regulation of transferase activity (GO:0051347)	26	8	8.60	-	.93	5.09E-01
GDP-mannose biosynthetic process (GO:0009298)	13	4	4.30	-	.93	5.70E-01
GDP-mannose metabolic process (GO:0019673)	13	4	4.30	-	.93	5.70E-01
macromolecule deacylation (GO:0098732)	26	8	8.60	-	.93	5.09E-01
carboxylic acid catabolic process (GO:0046395)	78	24	25.81	-	.93	4.10E-01
inorganic cation transmembrane transport (GO:0098662)	150	46	49.63	-	.93	3.34E-01
phosphorylation (GO:0016310)	252	77	83.38	-	.92	2.60E-01
carboxylic acid metabolic process (GO:0019752)	357	109	118.13	-	.92	2.10E-01
chemical homeostasis (GO:0048878)	105	32	34.74	-	.92	3.60E-01
oxoacid metabolic process (GO:0043436)	368	112	121.77	-	.92	1.97E-01
small GTPase mediated signal transduction (GO:0007264)	23	7	7.61	-	.92	5.08E-01
protein deacylation (GO:0035601)	23	7	7.61	-	.92	5.08E-01
cellular response to external stimulus (GO:0071496)	33	10	10.92	-	.92	4.69E-01
carbohydrate derivative catabolic process (GO:1901136)	33	10	10.92	-	.92	4.69E-01
cellular response to nutrient levels (GO:0031669)	33	10	10.92	-	.92	4.69E-01
cellular response to extracellular stimulus (GO:0031668)	33	10	10.92	-	.92	4.69E-01
chromatin assembly (GO:0031497)	33	10	10.92	-	.92	4.69E-01
nuclear transport (GO:0051169)	86	26	28.46	-	.91	3.66E-01
nucleocytoplasmic transport (GO:0006913)	86	26	28.46	-	.91	3.66E-01
nucleobase-containing compound transport (GO:0015931)	73	22	24.16	-	.91	3.79E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	20	6	6.62	-	.91	5.08E-01
tRNA wobble base modification (GO:0002097)	20	6	6.62	-	.91	5.08E-01
positive regulation of protein catabolic process (GO:0045732)	20	6	6.62	-	.91	5.08E-01
aromatic amino acid family metabolic process (GO:0009072)	30	9	9.93	-	.91	4.67E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	30	9	9.93	-	.91	4.67E-01
DNA-templated transcription, termination (GO:0006353)	10	3	3.31	-	.91	5.78E-01
histone exchange (GO:0043486)	10	3	3.31	-	.91	5.78E-01
monocarboxylic acid catabolic process (GO:0072329)	30	9	9.93	-	.91	4.67E-01
RNA metabolic process (GO:0016070)	680	204	225.01	-	.91	7.60E-02
hexose catabolic process (GO:0019320)	10	3	3.31	-	.91	5.78E-01
polysaccharide biosynthetic process (GO:0000271)	20	6	6.62	-	.91	5.08E-01
pyrimidine nucleobase biosynthetic process (GO:0019856)	10	3	3.31	-	.91	5.78E-01
inositol lipid-mediated signaling (GO:0048017)	10	3	3.31	-	.91	5.78E-01
rRNA transcription (GO:0009303)	10	3	3.31	-	.91	5.78E-01
cell wall chitin metabolic process (GO:0006037)	10	3	3.31	-	.91	5.78E-01
acylglycerol metabolic process (GO:0006639)	10	3	3.31	-	.91	5.78E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	10	3	3.31	-	.91	5.78E-01
