




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
potassium ion transmembrane transport (GO:0071805)	145	24	17.48	+	1.37	7.91E-02
import across plasma membrane (GO:0098739)	133	22	16.03	+	1.37	8.98E-02
regulation of osteoblast differentiation (GO:0045667)	115	19	13.86	+	1.37	1.09E-01
regulation of nucleocytoplasmic transport (GO:0046822)	109	18	13.14	+	1.37	1.17E-01
rRNA metabolic process (GO:0016072)	243	40	29.29	+	1.37	3.34E-02
water-soluble vitamin metabolic process (GO:0006767)	79	13	9.52	+	1.37	1.65E-01
chemokine-mediated signaling pathway (GO:0070098)	73	12	8.80	+	1.36	1.78E-01
regulation of bone mineralization (GO:0030500)	73	12	8.80	+	1.36	1.78E-01
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	67	11	8.08	+	1.36	1.91E-01
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	67	11	8.08	+	1.36	1.91E-01
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	61	10	7.35	+	1.36	2.07E-01
negative regulation of reproductive process (GO:2000242)	55	9	6.63	+	1.36	2.24E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	324	53	39.06	+	1.36	1.83E-02
negative regulation of developmental growth (GO:0048640)	104	17	12.54	+	1.36	1.32E-01
ear development (GO:0043583)	202	33	24.35	+	1.36	5.34E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	294	48	35.44	+	1.35	2.44E-02
regulation of DNA replication (GO:0006275)	98	16	11.81	+	1.35	1.42E-01
negative regulation of lipid localization (GO:1905953)	49	8	5.91	+	1.35	2.43E-01
bone mineralization (GO:0030282)	49	8	5.91	+	1.35	2.43E-01
immune response-activating signal transduction (GO:0002757)	294	48	35.44	+	1.35	2.44E-02
negative regulation of lymphocyte activation (GO:0051250)	141	23	17.00	+	1.35	9.42E-02
response to cAMP (GO:0051591)	92	15	11.09	+	1.35	1.52E-01
substantia nigra development (GO:0021762)	43	7	5.18	+	1.35	2.65E-01
ADP metabolic process (GO:0046031)	43	7	5.18	+	1.35	2.65E-01
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	86	14	10.37	+	1.35	1.63E-01
gluconeogenesis (GO:0006094)	43	7	5.18	+	1.35	2.65E-01
developmental cell growth (GO:0048588)	86	14	10.37	+	1.35	1.63E-01
negative regulation of sequestering of calcium ion (GO:0051283)	43	7	5.18	+	1.35	2.65E-01
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	43	7	5.18	+	1.35	2.65E-01
pituitary gland development (GO:0021983)	43	7	5.18	+	1.35	2.65E-01
renal tubule development (GO:0061326)	80	13	9.64	+	1.35	1.75E-01
potassium ion transport (GO:0006813)	154	25	18.57	+	1.35	8.76E-02
regulation of type I interferon-mediated signaling pathway (GO:0060338)	37	6	4.46	+	1.35	2.90E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	148	24	17.84	+	1.35	9.34E-02
actin-myosin filament sliding (GO:0033275)	37	6	4.46	+	1.35	2.90E-01
transcription by RNA polymerase I (GO:0006360)	37	6	4.46	+	1.35	2.90E-01
lipid storage (GO:0019915)	37	6	4.46	+	1.35	2.90E-01
muscle filament sliding (GO:0030049)	37	6	4.46	+	1.35	2.90E-01
negative regulation of cell-cell adhesion (GO:0022408)	173	28	20.86	+	1.34	7.65E-02
regulation of cell division (GO:0051302)	161	26	19.41	+	1.34	8.67E-02
response to transforming growth factor beta (GO:0071559)	155	25	18.69	+	1.34	9.24E-02
cerebellar cortex morphogenesis (GO:0021696)	31	5	3.74	+	1.34	3.20E-01
regulation of regulatory T cell differentiation (GO:0045589)	31	5	3.74	+	1.34	3.20E-01
serotonin receptor signaling pathway (GO:0007210)	31	5	3.74	+	1.34	3.20E-01
negative regulation of lipid transport (GO:0032369)	31	5	3.74	+	1.34	3.20E-01
peroxisomal transport (GO:0043574)	31	5	3.74	+	1.34	3.20E-01
axonemal dynein complex assembly (GO:0070286)	31	5	3.74	+	1.34	3.20E-01
sulfur amino acid metabolic process (GO:0000096)	31	5	3.74	+	1.34	3.20E-01
aromatic amino acid family metabolic process (GO:0009072)	31	5	3.74	+	1.34	3.20E-01
C21-steroid hormone metabolic process (GO:0008207)	31	5	3.74	+	1.34	3.20E-01
muscle hypertrophy (GO:0014896)	31	5	3.74	+	1.34	3.20E-01
regulation of type 2 immune response (GO:0002828)	31	5	3.74	+	1.34	3.20E-01
mating (GO:0007618)	31	5	3.74	+	1.34	3.20E-01
mammary gland duct morphogenesis (GO:0060603)	31	5	3.74	+	1.34	3.20E-01
negative regulation of smoothened signaling pathway (GO:0045879)	31	5	3.74	+	1.34	3.20E-01
carboxylic acid biosynthetic process (GO:0046394)	236	38	28.45	+	1.34	4.86E-02
cellular oxidant detoxification (GO:0098869)	87	14	10.49	+	1.33	1.73E-01
response to zinc ion (GO:0010043)	56	9	6.75	+	1.33	2.39E-01
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	56	9	6.75	+	1.33	2.39E-01
terpenoid metabolic process (GO:0006721)	112	18	13.50	+	1.33	1.38E-01
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	56	9	6.75	+	1.33	2.39E-01
regulation of ossification (GO:0030278)	112	18	13.50	+	1.33	1.38E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	330	53	39.78	+	1.33	2.46E-02
aminoglycan biosynthetic process (GO:0006023)	106	17	12.78	+	1.33	1.48E-01
blood coagulation, fibrin clot formation (GO:0072378)	25	4	3.01	+	1.33	3.56E-01
protein activation cascade (GO:0072376)	25	4	3.01	+	1.33	3.56E-01
cytokine production (GO:0001816)	25	4	3.01	+	1.33	3.56E-01
cholesterol efflux (GO:0033344)	25	4	3.01	+	1.33	3.56E-01
cytoplasmic translational initiation (GO:0002183)	25	4	3.01	+	1.33	3.56E-01
neural crest cell development (GO:0014032)	75	12	9.04	+	1.33	2.01E-01
cellular detoxification (GO:1990748)	100	16	12.06	+	1.33	1.59E-01
regulation of protein exit from endoplasmic reticulum (GO:0070861)	25	4	3.01	+	1.33	3.56E-01
positive regulation of epithelial cell differentiation (GO:0030858)	50	8	6.03	+	1.33	2.60E-01
deoxyribonucleotide catabolic process (GO:0009264)	25	4	3.01	+	1.33	3.56E-01
organic anion transport (GO:0015711)	300	48	36.17	+	1.33	3.28E-02
regulation of telomere capping (GO:1904353)	25	4	3.01	+	1.33	3.56E-01
secondary palate development (GO:0062009)	25	4	3.01	+	1.33	3.56E-01
central nervous system projection neuron axonogenesis (GO:0021952)	25	4	3.01	+	1.33	3.56E-01
feeding behavior (GO:0007631)	75	12	9.04	+	1.33	2.01E-01
response to thyroid hormone (GO:0097066)	25	4	3.01	+	1.33	3.56E-01
translational elongation (GO:0006414)	119	19	14.35	+	1.32	1.37E-01
regulation of Ras protein signal transduction (GO:0046578)	188	30	22.66	+	1.32	7.88E-02
negative regulation of neuron apoptotic process (GO:0043524)	138	22	16.64	+	1.32	1.18E-01
regulation of establishment of protein localization to mitochondrion (GO:1903747)	69	11	8.32	+	1.32	2.17E-01
organic acid biosynthetic process (GO:0016053)	245	39	29.54	+	1.32	5.29E-02
immune response-regulating signaling pathway (GO:0002764)	333	53	40.14	+	1.32	2.83E-02
cellular response to epidermal growth factor stimulus (GO:0071364)	44	7	5.30	+	1.32	2.83E-01
telomere maintenance (GO:0000723)	88	14	10.61	+	1.32	1.83E-01
positive regulation of biomineral tissue development (GO:0070169)	44	7	5.30	+	1.32	2.83E-01
cell growth (GO:0016049)	88	14	10.61	+	1.32	1.83E-01
respiratory gaseous exchange by respiratory system (GO:0007585)	44	7	5.30	+	1.32	2.83E-01
negative regulation of cellular amide metabolic process (GO:0034249)	195	31	23.51	+	1.32	7.78E-02
lymphocyte activation involved in immune response (GO:0002285)	107	17	12.90	+	1.32	1.57E-01
ameboidal-type cell migration (GO:0001667)	170	27	20.49	+	1.32	9.50E-02
negative regulation of cell activation (GO:0050866)	189	30	22.78	+	1.32	8.28E-02
nephron epithelium morphogenesis (GO:0072088)	63	10	7.59	+	1.32	2.34E-01
protein maturation (GO:0051604)	227	36	27.37	+	1.32	6.33E-02
sodium ion transport (GO:0006814)	164	26	19.77	+	1.32	1.01E-01
cellular response to chemokine (GO:1990869)	82	13	9.89	+	1.32	1.97E-01
response to chemokine (GO:1990868)	82	13	9.89	+	1.32	1.97E-01
positive regulation of type I interferon production (GO:0032481)	82	13	9.89	+	1.32	1.97E-01
hormone metabolic process (GO:0042445)	183	29	22.06	+	1.31	8.81E-02
myeloid leukocyte differentiation (GO:0002573)	120	19	14.47	+	1.31	1.44E-01
central nervous system myelination (GO:0022010)	19	3	2.29	+	1.31	4.01E-01
nitric oxide mediated signal transduction (GO:0007263)	19	3	2.29	+	1.31	4.01E-01
positive regulation of stem cell differentiation (GO:2000738)	19	3	2.29	+	1.31	4.01E-01
response to nitric oxide (GO:0071731)	19	3	2.29	+	1.31	4.01E-01
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	19	3	2.29	+	1.31	4.01E-01
auditory receptor cell development (GO:0060117)	19	3	2.29	+	1.31	4.01E-01
regulation of skeletal muscle cell differentiation (GO:2001014)	19	3	2.29	+	1.31	4.01E-01
nuclear migration (GO:0007097)	19	3	2.29	+	1.31	4.01E-01
pericardium development (GO:0060039)	19	3	2.29	+	1.31	4.01E-01
semaphorin-plexin signaling pathway (GO:0071526)	38	6	4.58	+	1.31	3.11E-01
oxidative demethylation (GO:0070989)	19	3	2.29	+	1.31	4.01E-01
thymic T cell selection (GO:0045061)	19	3	2.29	+	1.31	4.01E-01
positive regulation of mast cell activation (GO:0033005)	19	3	2.29	+	1.31	4.01E-01
positive regulation of actin cytoskeleton reorganization (GO:2000251)	19	3	2.29	+	1.31	4.01E-01
regulation of establishment of cell polarity (GO:2000114)	19	3	2.29	+	1.31	4.01E-01
positive regulation of embryonic development (GO:0040019)	19	3	2.29	+	1.31	4.01E-01
positive regulation of lipid kinase activity (GO:0090218)	38	6	4.58	+	1.31	3.11E-01
cellular response to leptin stimulus (GO:0044320)	19	3	2.29	+	1.31	4.01E-01
hormone transport (GO:0009914)	76	12	9.16	+	1.31	2.13E-01
detection of light stimulus involved in sensory perception (GO:0050962)	19	3	2.29	+	1.31	4.01E-01
axon ensheathment in central nervous system (GO:0032291)	19	3	2.29	+	1.31	4.01E-01
detection of light stimulus involved in visual perception (GO:0050908)	19	3	2.29	+	1.31	4.01E-01
negative regulation of telomere maintenance via telomerase (GO:0032211)	19	3	2.29	+	1.31	4.01E-01
regulation of vascular endothelial growth factor signaling pathway (GO:1900746)	19	3	2.29	+	1.31	4.01E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	57	9	6.87	+	1.31	2.54E-01
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	19	3	2.29	+	1.31	4.01E-01
vesicle cargo loading (GO:0035459)	19	3	2.29	+	1.31	4.01E-01
monoamine transport (GO:0015844)	19	3	2.29	+	1.31	4.01E-01
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	19	3	2.29	+	1.31	4.01E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	19	3	2.29	+	1.31	4.01E-01
regulation of cellular response to insulin stimulus (GO:1900076)	57	9	6.87	+	1.31	2.54E-01
negative regulation of bone remodeling (GO:0046851)	19	3	2.29	+	1.31	4.01E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	57	9	6.87	+	1.31	2.54E-01
sialylation (GO:0097503)	19	3	2.29	+	1.31	4.01E-01
positive regulation of sprouting angiogenesis (GO:1903672)	19	3	2.29	+	1.31	4.01E-01
negative regulation of adaptive immune response (GO:0002820)	57	9	6.87	+	1.31	2.54E-01
regulation of cell maturation (GO:1903429)	19	3	2.29	+	1.31	4.01E-01
negative regulation of natural killer cell mediated immunity (GO:0002716)	19	3	2.29	+	1.31	4.01E-01
developmental growth involved in morphogenesis (GO:0060560)	114	18	13.74	+	1.31	1.54E-01
regulation of megakaryocyte differentiation (GO:0045652)	51	8	6.15	+	1.30	2.76E-01
protein-lipid complex subunit organization (GO:0071825)	51	8	6.15	+	1.30	2.76E-01
detection of mechanical stimulus (GO:0050982)	51	8	6.15	+	1.30	2.76E-01
negative regulation of blood coagulation (GO:0030195)	51	8	6.15	+	1.30	2.76E-01
secondary metabolic process (GO:0019748)	51	8	6.15	+	1.30	2.76E-01
peptide hormone secretion (GO:0030072)	51	8	6.15	+	1.30	2.76E-01
regulation of morphogenesis of a branching structure (GO:0060688)	51	8	6.15	+	1.30	2.76E-01
regulation of reproductive process (GO:2000241)	147	23	17.72	+	1.30	1.29E-01
chromatin assembly (GO:0031497)	96	15	11.57	+	1.30	1.90E-01
digestion (GO:0007586)	96	15	11.57	+	1.30	1.90E-01
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	64	10	7.72	+	1.30	2.48E-01
metanephric nephron development (GO:0072210)	32	5	3.86	+	1.30	3.43E-01
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	32	5	3.86	+	1.30	3.43E-01
secretory granule organization (GO:0033363)	32	5	3.86	+	1.30	3.43E-01
regulation of sodium ion transmembrane transport (GO:1902305)	64	10	7.72	+	1.30	2.48E-01
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	64	10	7.72	+	1.30	2.48E-01
chromatin silencing (GO:0006342)	32	5	3.86	+	1.30	3.43E-01
negative regulation of telomere maintenance (GO:0032205)	32	5	3.86	+	1.30	3.43E-01
embryonic axis specification (GO:0000578)	32	5	3.86	+	1.30	3.43E-01
regulation of smooth muscle cell differentiation (GO:0051150)	32	5	3.86	+	1.30	3.43E-01
actin cytoskeleton reorganization (GO:0031532)	64	10	7.72	+	1.30	2.48E-01
negative regulation of protein localization to nucleus (GO:1900181)	32	5	3.86	+	1.30	3.43E-01
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	32	5	3.86	+	1.30	3.43E-01
telomere maintenance via telomere lengthening (GO:0010833)	32	5	3.86	+	1.30	3.43E-01
response to organophosphorus (GO:0046683)	128	20	15.43	+	1.30	1.49E-01
T-helper cell differentiation (GO:0042093)	32	5	3.86	+	1.30	3.43E-01
protein-containing complex remodeling (GO:0034367)	32	5	3.86	+	1.30	3.43E-01
negative regulation of cellular protein catabolic process (GO:1903363)	64	10	7.72	+	1.30	2.48E-01
regulation of protein maturation (GO:1903317)	64	10	7.72	+	1.30	2.48E-01
extracellular matrix organization (GO:0030198)	365	57	44.00	+	1.30	3.22E-02
negative regulation of cell development (GO:0010721)	173	27	20.86	+	1.29	1.10E-01
extracellular structure organization (GO:0043062)	366	57	44.12	+	1.29	3.36E-02
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	45	7	5.42	+	1.29	3.02E-01
positive regulation of biomineralization (GO:0110151)	45	7	5.42	+	1.29	3.02E-01
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	45	7	5.42	+	1.29	3.02E-01
negative regulation of cell growth (GO:0030308)	180	28	21.70	+	1.29	1.08E-01
ceramide biosynthetic process (GO:0046513)	45	7	5.42	+	1.29	3.02E-01
regulation of ERK1 and ERK2 cascade (GO:0070372)	270	42	32.55	+	1.29	6.11E-02
positive regulation of GTPase activity (GO:0043547)	225	35	27.12	+	1.29	8.09E-02
negative regulation of neuron projection development (GO:0010977)	135	21	16.27	+	1.29	1.47E-01
external encapsulating structure organization (GO:0045229)	367	57	44.24	+	1.29	3.50E-02
cellular response to nutrient levels (GO:0031669)	219	34	26.40	+	1.29	8.60E-02
glycosylation (GO:0070085)	232	36	27.97	+	1.29	7.97E-02
carbohydrate derivative catabolic process (GO:1901136)	187	29	22.54	+	1.29	1.06E-01
alpha-amino acid catabolic process (GO:1901606)	84	13	10.13	+	1.28	2.20E-01
protein-DNA complex subunit organization (GO:0071824)	220	34	26.52	+	1.28	8.99E-02
response to corticosteroid (GO:0031960)	162	25	19.53	+	1.28	1.31E-01
negative regulation of translation (GO:0017148)	175	27	21.10	+	1.28	1.21E-01
regulation of neuron apoptotic process (GO:0043523)	201	31	24.23	+	1.28	1.03E-01
viral protein processing (GO:0019082)	39	6	4.70	+	1.28	3.32E-01
sister chromatid cohesion (GO:0007062)	39	6	4.70	+	1.28	3.32E-01
nephron morphogenesis (GO:0072028)	65	10	7.84	+	1.28	2.63E-01
regulation of T cell migration (GO:2000404)	39	6	4.70	+	1.28	3.32E-01
hydrogen peroxide metabolic process (GO:0042743)	39	6	4.70	+	1.28	3.32E-01
regulation of smoothened signaling pathway (GO:0008589)	78	12	9.40	+	1.28	2.37E-01
translesion synthesis (GO:0019985)	39	6	4.70	+	1.28	3.32E-01
ribosomal large subunit biogenesis (GO:0042273)	65	10	7.84	+	1.28	2.63E-01
renal tubule morphogenesis (GO:0061333)	65	10	7.84	+	1.28	2.63E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	39	6	4.70	+	1.28	3.32E-01
positive regulation of smooth muscle cell migration (GO:0014911)	39	6	4.70	+	1.28	3.32E-01
chromatin organization involved in regulation of transcription (GO:0034401)	65	10	7.84	+	1.28	2.63E-01
establishment of cell polarity (GO:0030010)	117	18	14.10	+	1.28	1.80E-01
lymphocyte migration (GO:0072676)	65	10	7.84	+	1.28	2.63E-01
negative regulation of production of molecular mediator of immune response (GO:0002701)	39	6	4.70	+	1.28	3.32E-01
embryonic skeletal joint development (GO:0072498)	13	2	1.57	+	1.28	4.64E-01
epithelial tube branching involved in lung morphogenesis (GO:0060441)	26	4	3.13	+	1.28	3.83E-01
tetrahydrobiopterin metabolic process (GO:0046146)	13	2	1.57	+	1.28	4.64E-01
ER overload response (GO:0006983)	13	2	1.57	+	1.28	4.64E-01
pathway-restricted SMAD protein phosphorylation (GO:0060389)	13	2	1.57	+	1.28	4.64E-01
corpus callosum development (GO:0022038)	13	2	1.57	+	1.28	4.64E-01
synaptic transmission, dopaminergic (GO:0001963)	13	2	1.57	+	1.28	4.64E-01
transmission of nerve impulse (GO:0019226)	52	8	6.27	+	1.28	2.94E-01
lymphangiogenesis (GO:0001946)	13	2	1.57	+	1.28	4.64E-01
cellular response to aldehyde (GO:0110096)	13	2	1.57	+	1.28	4.64E-01
camera-type eye photoreceptor cell differentiation (GO:0060219)	26	4	3.13	+	1.28	3.83E-01
male meiosis I (GO:0007141)	26	4	3.13	+	1.28	3.83E-01
inner cell mass cell proliferation (GO:0001833)	13	2	1.57	+	1.28	4.64E-01
positive regulation of phagocytosis, engulfment (GO:0060100)	13	2	1.57	+	1.28	4.64E-01
renal vesicle morphogenesis (GO:0072077)	13	2	1.57	+	1.28	4.64E-01
lipoprotein localization (GO:0044872)	13	2	1.57	+	1.28	4.64E-01
negative regulation of microtubule depolymerization (GO:0007026)	26	4	3.13	+	1.28	3.83E-01
polyamine biosynthetic process (GO:0006596)	13	2	1.57	+	1.28	4.64E-01
glomerulus development (GO:0032835)	52	8	6.27	+	1.28	2.94E-01
positive regulation of protein sumoylation (GO:0033235)	13	2	1.57	+	1.28	4.64E-01
negative regulation by host of viral process (GO:0044793)	13	2	1.57	+	1.28	4.64E-01
semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	13	2	1.57	+	1.28	4.64E-01
signal peptide processing (GO:0006465)	13	2	1.57	+	1.28	4.64E-01
regulation of cell proliferation involved in kidney development (GO:1901722)	13	2	1.57	+	1.28	4.64E-01
left/right axis specification (GO:0070986)	13	2	1.57	+	1.28	4.64E-01
mitochondrial transcription (GO:0006390)	13	2	1.57	+	1.28	4.64E-01
DNA deamination (GO:0045006)	13	2	1.57	+	1.28	4.64E-01
bicellular tight junction assembly (GO:0070830)	52	8	6.27	+	1.28	2.94E-01
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	26	4	3.13	+	1.28	3.83E-01
negative regulation of neurotransmitter transport (GO:0051589)	13	2	1.57	+	1.28	4.64E-01
adenine nucleotide transport (GO:0051503)	26	4	3.13	+	1.28	3.83E-01
regulation of non-canonical Wnt signaling pathway (GO:2000050)	26	4	3.13	+	1.28	3.83E-01
regulation of DNA damage checkpoint (GO:2000001)	13	2	1.57	+	1.28	4.64E-01
acetyl-CoA biosynthetic process (GO:0006085)	13	2	1.57	+	1.28	4.64E-01
nuclear mRNA surveillance (GO:0071028)	13	2	1.57	+	1.28	4.64E-01
nuclear RNA surveillance (GO:0071027)	13	2	1.57	+	1.28	4.64E-01
response to axon injury (GO:0048678)	52	8	6.27	+	1.28	2.94E-01
COPII-coated vesicle cargo loading (GO:0090110)	13	2	1.57	+	1.28	4.64E-01
positive regulation of positive chemotaxis (GO:0050927)	26	4	3.13	+	1.28	3.83E-01
regulation of nucleobase-containing compound transport (GO:0032239)	13	2	1.57	+	1.28	4.64E-01
kinetochore assembly (GO:0051382)	13	2	1.57	+	1.28	4.64E-01
white fat cell differentiation (GO:0050872)	13	2	1.57	+	1.28	4.64E-01
positive regulation of macrophage migration (GO:1905523)	26	4	3.13	+	1.28	3.83E-01
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	52	8	6.27	+	1.28	2.94E-01
